Etiqueta,Tupla,Longitud,Latitud,ND,NDC,NiDC,NoDC,NBC,NCC,NLRC,NKC,NCCO,NCCW,KNN,KNNW
v2714,32.48358144748:-116.96397096053,-116.96397096053,32.48358144748,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.008656530843307171,0.01586323208943091,1.0,0.01586323208943091,0.0,0.0,2.5,2.5186745881407377
v2715,32.48605100275:-116.96142621406,-116.96142621406,32.48605100275,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.008976781350251187,0.015731078529197418,1.0,0.015731078529197418,0.0,0.0,2.0,2.0
v2716,32.48729650595:-116.96081199288,-116.96081199288,32.48729650595,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.009308316089674643,0.015877900299327247,1.0,0.015877900299327247,0.0,0.0,2.5,2.2770207140409777
v2717,32.48766924398:-116.96038887039,-116.96038887039,32.48766924398,6,0.0013452914798206279,0.0006726457399103139,0.0006726457399103139,0.014449642483403259,0.01747827935873679,1.0,0.01747827935873679,0.0,0.0,2.3333333333333335,2.5431083234904825
v2718,32.49003588948:-116.95785518837,-116.95785518837,32.49003588948,6,0.0013452914798206279,0.0006726457399103139,0.0006726457399103139,0.014612410986063754,0.017459031082287912,1.0,0.017459031082287912,0.0,0.0,2.6666666666666665,2.708372747268976
v2719,32.49173253442:-116.9603633894,-116.9603633894,32.49173253442,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0006451824311255082,0.014001184204088036,1.0,0.014001184204088036,0.0,0.0,1.0,1.0
v2720,32.49166353241:-116.96062624589,-116.96062624589,32.49166353241,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0006451824311255078,0.013957087054651257,1.0,0.013957087054651257,0.0,0.0,1.0,1.0
v2721,32.49144860778:-116.96054712072,-116.96054712072,32.49144860778,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0006451824311255079,0.013952677549408961,1.0,0.013952677549408961,0.0,0.0,2.0,2.0
v2722,32.49146670671:-116.96027085319,-116.96027085319,32.49146670671,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0009197769680976418,0.015698137480762916,1.0,0.015698137480762916,0.0,0.0,2.0,2.8351829372669655
v2723,32.47799557467:-116.96912751675,-116.96912751675,32.47799557467,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.003866561174059919,0.01586144847243687,1.0,0.01586144847243687,0.0,0.0,3.0,2.9999999999999996
v2724,32.47579947715:-116.96958257926,-116.96958257926,32.47579947715,5,0.0011210762331838565,0.0004484304932735426,0.0006726457399103139,0.0038307850469503977,0.015713239383255386,1.0,0.015713239383255386,0.0,0.0,2.0,2.0
v2725,32.47336482434:-116.97021782935,-116.97021782935,32.47336482434,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0033527330279452938,0.015701284772035938,1.0,0.015701284772035938,0.0,0.0,2.5,2.583511418791226
v2726,32.47158962311:-116.97006762564,-116.97006762564,32.47158962311,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0034053075523066026,0.01572995447955831,1.0,0.01572995447955831,0.0,0.0,2.0,2.0
