Etiqueta,degree,distance,ranking
v88,0.001120448179271684,0.2571694562172509,0.11697817283465677
v89,0.0,0.2288216759645961,0.08014407152564369
v90,0.0,0.22811693853374473,0.09537917288046742
v91,0.0,0.22804646533042053,0.10824001004404607
v92,0.25042016806722694,0.2935234922304223,0.16520474574709113
v93,0.12549019607843137,0.28778000399418585,0.16805727440381352
v94,0.000560224089635842,0.27730440202470896,0.10046026293550085
v95,0.0,0.18961398814930444,0.05474584179183104
v96,0.0,0.1896082446905254,0.07376679283798582
v97,0.249859943977591,0.18960767036187393,0.08981321480638835
v98,0.000560224089635842,0.18960761294049305,0.10368433292530937
v99,0.0,0.08361431323631997,0.09585508257447273
v100,0.0,0.08361431266210616,0.10866967890814128
v101,0.49971988795518196,0.08361431260468477,0.11941136200620799
v102,0.2526610644257703,0.3223733942296068,0.6869211781849502
v103,0.37591036414565815,0.2999817031322985,0.31906948652031786
v104,0.5008403361344537,0.29993606818536667,0.28790269318663125
v105,0.19075630252100834,0.34813537826160457,0.4502247571074317
v106,0.6257703081232492,0.254787166756192,0.12067466557094701
v107,0.25210084033613445,0.32188863030888054,0.2965678059266397
v108,0.25210084033613445,0.2455341851240815,0.5977787427850026
v109,0.5008403361344537,0.08262841252721734,0.3766799080847798
v110,0.33538748832866466,0.08755305529251786,0.20117595270546582
v111,0.33538748832866466,0.08325827422736617,0.2558527055678163
v112,0.37591036414565815,0.07349147844222156,0.11573391932011719
v113,0.2509803921568628,0.0714517177747538,0.1016826215187328
v114,0.2509803921568628,0.07025757208078616,0.17648111264237407
v115,0.2509803921568628,0.06928513877750243,0.19454977359593437
v116,0.37591036414565815,0.06903877687370981,0.13642375642480498
v117,0.25210084033613445,0.07647805161513375,0.23361109551494105
v118,0.5008403361344537,0.06150646624633608,0.27129908673243086
v119,0.1682539682539683,0.12730704259547282,0.2234542006783833
v120,0.750140056022409,0.061311666272790354,0.1196709971354084
v121,0.12773109243697475,0.10205707092028052,0.30058944867651594
v122,0.25042016806722694,0.00830475157205674,0.06086841839750485
v123,0.2515406162464986,0.023594015020640048,0.3322828313751077
v124,0.37591036414565815,0.018325400958472148,0.3167647036607477
v125,0.41867413632119516,0.027835378645438662,0.4540299595780545
v126,0.5019607843137255,0.026252011999131786,0.3651340893686471
v127,0.37591036414565815,0.010687862138297206,0.22098808852876753
v128,0.37591036414565815,0.020486230694366173,0.0724579305935329
v129,0.2509803921568628,0.024525256313531963,0.09991897404230411
v130,0.2509803921568628,0.023127946512677227,0.17857380529603575
v131,0.2509803921568628,0.021575162095522453,0.24169051613271034
v132,0.12549019607843137,0.012205267686063524,0.052246905000896404
v133,0.6257703081232492,0.09896200312465725,0.06934024003794688
v134,0.37591036414565815,0.22746799580012225,0.3495158756659477
v135,0.12605042016806722,0.2309018733179377,0.27049702543997645
v136,0.0,0.21999400212038386,0.1114538580235181
v137,0.25042016806722694,0.3133491549999209,0.2607489547353245
v138,0.000560224089635842,0.3075412195323332,0.24934098406852553
v139,0.249859943977591,0.06331742559599149,0.0
v140,0.12605042016806722,0.10469411090846092,0.16162517108226573
v141,0.0,0.06842946693963879,0.026840227546696762
v142,0.000560224089635842,0.15431753429373374,0.28342168484683017
v143,0.249859943977591,0.1485108062255218,0.26870901322795715
v144,0.000560224089635842,0.1479301335450275,0.2555494503005917
v145,0.000560224089635842,0.12984737746692757,0.3477263612497194
v146,0.0,0.12409943206826494,0.3207413970419484
v147,0.0,0.12352463755710942,0.3029635342073204
v148,0.249859943977591,0.12346715812322026,0.2826335712340463
v149,0.12549019607843137,0.12346141018557348,0.2681266164968199
v150,0.12605042016806722,0.39069047010627234,0.26702291880514795
v151,0.249859943977591,0.0006416867634921212,0.04381499170470113
v152,0.001120448179271684,0.39073917314146595,0.27098788080976854
v153,0.0,0.0866460790041671,0.08821773675766768
v154,0.0,0.08600143735500305,0.10155723210454444
v155,0.0,0.2599982796672114,0.19277346848000562
v156,0.249859943977591,0.25999770286944046,0.19268473360360186
v157,0.000560224089635842,0.25999764521837415,0.19036516909203893
v158,0.0,0.25594976774254385,0.1818997172193826
v159,0.0,0.2559497671683302,0.18232722810446345
v160,0.0,0.25594976711090883,0.17938605630582533
v161,0.0,0.2559497671109088,0.18109632906249615
v162,0.249859943977591,0.2559497671109088,0.18221299603336719
v163,0.12605042016806722,0.3332056186107765,0.1859795082891504
v164,0.12605042016806722,0.29397678799949706,0.18091975636985724
v165,0.0,0.21334428163402538,0.17343317278581333
v166,0.49971988795518196,0.21269399798966224,0.16936871531132175
v167,0.41867413632119516,0.49071718279106713,0.2426864955484696
v168,0.0,0.0024677896014459735,0.10495617471400806
v169,0.25042016806722694,0.024057580867767055,0.19042333055923405
v170,0.5014005602240895,0.3984439305594052,0.311898074863376
v171,0.25042016806722694,0.22709378778724187,0.23217689087741178
v172,0.25042016806722694,0.017370787021989752,0.3119277588075411
v173,0.001120448179271684,0.018062338166699488,0.3730266072240401
v174,0.249859943977591,0.06727123798511381,0.10955869319127987
v175,0.000560224089635842,0.06726548872677526,0.12044200667292607
v176,0.0,0.05700596850158279,0.06542083352661177
v177,0.0,0.05700591102278055,0.08298623112747874
v178,0.0,0.057005905280642456,0.09792107592085632
v179,0.0,0.05700590470642865,0.11061659264449639
v180,0.0,0.05700590464900727,0.12137972220462236
v181,0.0,0.05700590464900725,0.1306214497779207
v182,0.000560224089635842,0.15484823122192146,0.1848555681376217
v183,0.0,0.14904156758049875,0.18495273921848251
v184,0.0,0.1484609013311993,0.18396580362240297
v185,0.0,0.1484028347636908,0.18443063907296098
v186,0.0,0.14839702814139275,0.18319731577073292
v187,0.0,0.14839644749638936,0.18480275645703173
v188,0.249859943977591,0.1483963894433733,0.18431804714185968
v189,0.000560224089635842,0.14839638364381383,0.18232958766578516
v190,0.000560224089635842,0.15477653649356204,0.294203561828131
v191,0.0,0.14903439834883264,0.2774851992433984
v192,0.249859943977591,0.14846018454010185,0.26450470342969906
v193,0.000560224089635842,0.14840276315922876,0.25225191205948894
v194,0.0,0.12672941887989747,0.21740284933363613
v195,0.249859943977591,0.12672884466608875,0.2122238530198594
v196,0.25042016806722694,0.12672878724470785,0.20759425744654117
v197,0.37647058823529406,0.1712614800668064,0.3198561108827745
v198,0.08496732026143788,0.16366386244915712,0.17036929206537962
v199,0.0,0.05413975787102705,0.06176359240755672
v200,0.0,0.05342997413438184,0.07943363555100473
v201,0.249859943977591,0.05335899608227708,0.09489851764519375
v202,0.12549019607843137,0.05335189845507288,0.10778039114467626
v203,0.12605042016806722,0.04581331672298242,0.0516828732892045
v204,0.000560224089635842,0.06127561733885197,0.23616478167215854
v205,0.249859943977591,0.05437285785932567,0.22915863492040411
v206,0.25042016806722694,0.05368258194582586,0.22213389911250106
v207,0.001680672268907561,0.029520258860856952,0.36434854920879245
v208,0.0,0.003644303119314579,0.03997176904067835
v209,0.0,0.003069399048164319,0.06133636327908687
v210,0.0,0.0030119086467914214,0.0795046139342064
v211,0.0,0.003006159618138404,0.09496228536070075
v212,0.000560224089635842,0.014189384843098752,0.1211312133220585
v213,0.25042016806722694,0.053536734716734376,0.14055997090563127
v214,0.12549019607843137,0.04715598393814704,0.14686084272082642
v215,0.0,0.04626313421858424,0.1312523104173174
v216,0.0,0.046199326718837336,0.13972193808137234
v217,0.249859943977591,0.04619294599757334,0.1460499864113803
v218,0.25042016806722694,0.046192307931189086,0.15151967093675228
v219,0.2515406162464986,0.12646957989366633,0.5572274910525021
v220,0.2509803921568628,0.11974066140995838,0.49046464408792356
v221,0.2509803921568628,0.11971058169133583,1.0
v222,0.37647058823529406,0.12929002716515198,0.9179991690209258
v223,0.1682539682539683,0.11958456179970323,0.09880291855562917
v224,0.37591036414565815,0.10912947640834525,0.16114303411127476
v225,0.2509803921568628,0.10948413948983657,0.22336949027304112
v226,0.2509803921568628,0.11010276252289335,0.1695121633596231
