,Arista,Angulo1,Angulo2,Dist
1762,"('v1231', 'v1232')",126.9660546543372,-53.03147449360952,541.1196588024023
1763,"('v1232', 'v1233')",62.5041763503677,-117.49422303500357,315.7429513561305
1764,"('v1233', 'v1234')",23.0152553026132,-156.98408678933288,294.4238965118436
1765,"('v1234', 'v1235')",29.93120589144238,-150.0683483647438,156.29685970377258
1766,"('v1235', 'v1236')",80.74463871483479,-99.25454286839447,145.07298765008656
1767,"('v1236', 'v1237')",112.64341626255104,-67.35428414669582,435.9363452074185
1768,"('v1237', 'v1238')",142.34094225444386,-37.65797716520848,309.4653199399939
1769,"('v1238', 'v1239')",147.3768668815449,-32.621219233442446,621.2557214081546
1770,"('v1239', 'v1240')",142.1769717901929,-37.821156321953964,534.2714211890079
1771,"('v1240', 'v1241')",-122.51394379052331,57.48146452649274,953.2001000062203
1772,"('v1241', 'v1242')",-43.91111487430561,136.0872043383794,424.2405138983091
1773,"('v1242', 'v1243')",-139.21210702357945,40.78708785508354,215.74770100849
1774,"('v1243', 'v1244')",-52.141192102309475,127.85855998074834,54.96887673304393
1775,"('v1244', 'v1245')",-50.32895648627905,129.67056552793275,108.70492194485868
1776,"('v1245', 'v1246')",-139.20492099925224,40.79373779952658,359.3645855061645
1777,"('v1246', 'v1247')",-139.20524432707015,40.79407192007645,183.21937146872062
1778,"('v1247', 'v1248')",-48.79298551069014,131.20537266434252,382.0481112818866
1779,"('v1248', 'v1249')",-139.84008389168403,40.15921171600763,191.20943545946412
1780,"('v1249', 'v1250')",-139.83978971936304,40.15892868336937,347.91830664480335
1781,"('v1250', 'v1251')",-48.0971255519232,131.90261090949704,61.994847476907346
1782,"('v1251', 'v309')",-135.0957737630695,44.903668259445,138.39255433417262
1783,"('v309', 'v1055')",-99.66391070281044,80.33597057911541,21.085474527885687
1784,"('v1055', 'v1252')",-77.91738719520905,102.08210575063212,90.79070060241234
1785,"('v1252', 'v1253')",-35.76423391272041,144.2345592583279,361.5145511114898
1786,"('v1253', 'v1254')",-34.70658362975706,145.2931751383293,74.17265740684692
1787,"('v1254', 'v1255')",-67.46059471251758,112.53735367452333,388.859664592483
1788,"('v1255', 'v1256')",-102.69588366191384,77.30357552450292,97.04673820350614
1789,"('v1256', 'v1257')",-67.39771756265016,112.60121159955796,203.05182667469566
1790,"('v1257', 'v1258')",-89.59990156630396,90.39804027298906,360.29816406732374
1791,"('v1258', 'v1259')",160.592364527187,-19.407206999397715,225.73736454768004
1792,"('v1259', 'v1260')",-110.21087301881391,69.78687094069154,420.8859260631982
1793,"('v1260', 'v1261')",-138.68283350568447,41.31448709057864,710.5961678870547
1794,"('v1261', 'v1262')",-57.31519123664651,122.68414007452843,139.12002860727603
1795,"('v1262', 'v1263')",-83.23101210893,96.76807925593755,160.22146902962038
1796,"('v1263', 'v737')",-117.83843222551187,62.161316942450796,49.66994459699508
1797,"('v737', 'v738')",2.956947393952139,-177.04302789287388,83.88571928959152
1798,"('v738', 'v1264')",35.924546934940395,-144.07512613865478,97.56523557402959
1799,"('v1264', 'v1265')",2.6059112988636994,-177.39405125928707,144.18740518993073
1800,"('v1265', 'v739')",-59.89548292652468,120.10422717393772,58.67079192134055
1801,"('v739', 'v740')",1.0583536912315106,-178.94162193891836,230.98941652871426
1802,"('v740', 'v735')",-176.27565699254188,3.724002993959658,916.5877111926025
