frontera,vertice,regret,maxregret,distance
97.0,v3467,0.0,0.007708574,0.0
97.0,v1754,0.0,0.007873189,0.0
97.0,v4351,0.0,0.00914961,0.0
97.0,v3222,0.0,0.0060787713,0.0
97.0,v3184,0.0,0.009812228,0.0
97.0,v3185,0.0,0.009811576,0.0
97.0,v3183,0.0,0.009818747,0.0
97.0,v4208,0.0,0.007645966,0.0
97.0,v1107,0.0,0.005768217,0.0
97.0,v2768,0.0,0.009216642,0.0
97.0,v4337,0.0,0.010155539,0.0
97.0,v1081,0.0,0.008512077,0.0
96.0,v2767,0.0,0.009861906,0.0
96.0,v3933,0.0,0.01031456,0.0
96.0,v2163,0.0,0.008806644,0.0
96.0,v4373,0.0,0.010496003,0.0
96.0,v4341,0.0,0.009422677,0.0
96.0,v4210,0.0,0.0028354304,0.0
96.0,v4254,0.0,0.0071808547,0.0
96.0,v2564,0.0,0.009163698,0.0
96.0,v2263,0.0,1.4853002E-4,0.0
96.0,v4386,0.0,0.008126388,0.0
96.0,v3363,0.0,0.007346904,0.0
96.0,v2202,0.0,0.010759402,0.0
96.0,v2590,0.0,0.007102618,0.0
96.0,v3776,0.0,0.008126372,0.0
96.0,v4340,0.0,0.009423336,0.0
96.0,v4374,0.0,0.010489484,0.0
96.0,v3932,0.0,0.010398393,0.0
96.0,v3468,0.0,0.0077079944,0.0
95.0,v2426,0.0,0.0108380765,0.0
95.0,v3777,0.0,0.008126314,0.0
95.0,v3931,0.0,0.0112367375,0.0
95.0,v3364,0.0,0.0073462655,0.0
95.0,v1274,0.0,0.009149775,0.0
95.0,v2925,0.0,0.0038025177,0.0
95.0,v4352,0.0,0.009149551,0.0
95.0,v3469,0.0,0.007707936,0.0
95.0,v3187,0.0,0.009811505,0.0
95.0,v1080,0.0,0.010392123,0.0
95.0,v4387,0.0,0.008126316,0.0
95.0,v1722,0.0,0.0050616283,0.0
95.0,v4211,0.0,0.002179349,0.0
95.0,v4375,0.0,0.010488832,0.0
95.0,v2363,0.0,0.003076412,0.0
95.0,v3186,0.0,0.009811511,0.0
95.0,v3309,0.0,0.0040380326,0.0
95.0,v4080,0.0,0.0018160626,0.0
95.0,v2991,0.0,0.0053641894,0.0
94.0,v2603,0.0,0.011282048,0.0
94.0,v591,0.0,0.010236815,0.0
94.0,v1275,0.0,0.009149775,0.0
94.0,v3223,0.0,0.006078691,0.0
94.0,v1218,0.0,0.010901245,0.0
94.0,v4376,0.0,0.010488767,0.0
94.0,v3934,0.0,0.010306177,0.0
94.0,v590,0.0,0.010811028,0.0
94.0,v1108,0.0,0.0057107955,0.0
94.0,v2926,0.0,0.0025005941,0.0
94.0,v2165,0.0,0.008806012,0.0
94.0,v4388,0.0,0.008126308,0.0
94.0,v2164,0.0,0.008806069,0.0
93.0,v2364,0.0,0.00301261,0.0
93.0,v3778,0.0,0.008126308,0.0
93.0,v4255,0.0,0.0071807965,0.0
93.0,v3998,0.0,0.012585468,0.0
93.0,v4312,0.0,0.011325498,0.0
93.0,v3080,0.0,0.009056369,0.0
93.0,v3310,0.0,0.004030927,0.0
93.0,v4377,0.0,0.010488761,0.0
93.0,v1276,0.0,0.009149775,0.0
93.0,v2591,0.0,0.007102611,0.0
93.0,v3079,0.0,0.009701626,0.0
93.0,v300,0.0,0.012082007,0.0
92.0,v1654,0.0,0.0129726175,0.0
92.0,v231,0.0,0.011772514,0.0
92.0,v467,0.0,0.012244812,0.0
92.0,v593,0.0,0.01017365,0.0
92.0,v2166,0.0,0.008806006,0.0
92.0,v1078,0.0,0.0045726043,0.0
92.0,v3020,0.0,0.006923634,0.0
92.0,v3985,0.0,0.0026976976,0.0
92.0,v1723,0.0,0.0050552357,0.0
